timestamps population node_ids
1609.5 v1 10646
2031.0 v1 10646
2277.0 v1 10646
2636.25 v1 10646
2955.75 v1 10646
139.75 v1 10786
473.25 v1 10786
757.75 v1 10786
1189.25 v1 10786
1375.5 v1 10786
1609.5 v1 10786
2031.0 v1 10786
2272.75 v1 10786
2636.25 v1 10786
2955.0 v1 10786
139.75 v1 10967
473.25 v1 10967
757.75 v1 10967
1189.25 v1 10967
1375.25 v1 10967
1609.5 v1 10967
2031.0 v1 10967
2272.5 v1 10967
2636.25 v1 10967
2955.0 v1 10967
139.75 v1 11117
473.25 v1 11117
757.75 v1 11117
1189.25 v1 11117
1375.5 v1 11117
1609.5 v1 11117
2031.0 v1 11117
2276.25 v1 11117
2636.25 v1 11117
2955.5 v1 11117
139.75 v1 11234
473.25 v1 11234
757.75 v1 11234
1189.25 v1 11234
1375.5 v1 11234
1609.5 v1 11234
2031.0 v1 11234
2277.0 v1 11234
2636.25 v1 11234
2955.75 v1 11234
139.75 v1 11336
473.25 v1 11336
757.75 v1 11336
1189.25 v1 11336
1375.5 v1 11336
1609.5 v1 11336
2031.0 v1 11336
2277.0 v1 11336
2636.25 v1 11336
2955.75 v1 11336
139.75 v1 11514
473.25 v1 11514
757.75 v1 11514
1189.25 v1 11514
1375.5 v1 11514
1609.5 v1 11514
2031.0 v1 11514
2277.0 v1 11514
2636.25 v1 11514
2955.75 v1 11514
245.5 v1 11692
483.75 v1 11692
1191.0 v1 11692
1384.75 v1 11692
1735.0 v1 11692
2045.5 v1 11692
2635.75 v1 11692
245.5 v1 11803
483.75 v1 11803
1191.0 v1 11803
1384.75 v1 11803
1735.0 v1 11803
2045.5 v1 11803
2635.75 v1 11803
245.5 v1 11914
483.75 v1 11914
1191.0 v1 11914
1384.5 v1 11914
1735.0 v1 11914
2045.5 v1 11914
2635.75 v1 11914
143.75 v1 12038
477.0 v1 12038
762.25 v1 12038
1193.75 v1 12038
1380.0 v1 12038
1614.5 v1 12038
2035.0 v1 12038
2282.5 v1 12038
